method,attack,corruption,participation,final_accuracy
FedAvg,alie,0.3,0.5,10.00
Median,alie,0.3,0.5,10.00
FedAvg,ipm,0.3,0.5,18.79
Median,alie,0.2,0.5,54.05
FedAvg,alie,0.2,0.5,60.91
FedAvg,ipm,0.2,0.5,49.18
Median,ipm,0.3,0.5,10.00
Krum,alie,0.3,0.5,10.00
Krum,ipm,0.3,0.5,10.00
Median,ipm,0.2,0.5,43.99
Krum,alie,0.2,0.5,51.15
Krum,ipm,0.2,0.5,10.00
Bulyan,alie,0.3,0.5,10.00
Bulyan,ipm,0.3,0.5,10.00
Bulyan,alie,0.2,0.5,51.70
FLTrust,alie,0.3,0.5,57.82
FLTrust,alie,0.2,0.5,57.81
Bulyan,ipm,0.2,0.5,51.98
FLTrust,ipm,0.3,0.5,57.12
FLTrust,ipm,0.2,0.5,55.82
SWB,alie,0.3,0.5,9.98
SWB,alie,0.2,0.5,48.42
SWB,ipm,0.2,0.5,45.97
SWB,ipm,0.3,0.5,10.00
FLTrust,alie,0.2,0.1,46.19
FLTrust,alie,0.3,0.1,45.96
FLTrust,ipm,0.2,0.1,47.00
FLTrust,ipm,0.3,0.1,45.45
FedAvg,alie,0.2,0.1,33.53
SWB-DM,alie,0.3,0.5,51.51
FedAvg,alie,0.3,0.1,10.00
FedAvg,ipm,0.2,0.1,36.43
SWB-DM,alie,0.2,0.5,55.71
FedAvg,ipm,0.3,0.1,10.00
Median,alie,0.2,0.1,22.55
Median,alie,0.3,0.1,10.00
Median,ipm,0.2,0.1,10.00
Median,ipm,0.3,0.1,10.01
SWB-DM,ipm,0.3,0.5,10.43
SWB-DM,ipm,0.2,0.5,37.30
SWB-DM,alie,0.2,0.1,10.00
SWB-DM,alie,0.3,0.1,11.30
SWB-DM,ipm,0.2,0.1,10.00
SWB-DM,ipm,0.3,0.1,9.24
