dataset,method,attack,corruption,participation,seed,acc_at_round10,acc_at_round25
cifar10,FedAvg,none,0.0,0.1,7,55.25,59.35
cifar10,FedAvg,none,0.0,0.1,42,51.29,62.77
cifar10,FedAvg,label_flip,0.1,0.1,7,53.99,24.99
cifar10,FedAvg,label_flip,0.1,0.1,42,51.20,62.06
cifar10,FedAvg,label_flip,0.1,0.5,42,63.40,68.06
cifar10,FedAvg,none,0.0,0.5,42,66.20,68.95
cifar10,FedAvg,none,0.0,0.5,7,65.03,67.98
cifar10,FedAvg,label_flip,0.1,0.5,7,63.10,53.15
cifar10,FedAvg,label_flip,0.2,0.1,42,48.07,59.06
cifar10,FedAvg,label_flip,0.2,0.1,7,52.47,20.34
cifar10,FedAvg,label_flip,0.2,0.5,42,40.91,48.01
cifar10,FedAvg,label_flip,0.3,0.1,7,15.25,24.12
cifar10,FedAvg,label_flip,0.3,0.1,42,20.37,58.19
cifar10,FedAvg,label_flip,0.2,0.5,7,56.85,42.12
cifar10,FedAvg,sign_flip,0.1,0.1,42,47.56,59.43
cifar10,FedAvg,sign_flip,0.1,0.1,7,53.03,38.39
cifar10,FedAvg,label_flip,0.3,0.5,42,16.80,44.92
cifar10,FedAvg,label_flip,0.3,0.5,7,30.12,22.36
cifar10,FedAvg,sign_flip,0.2,0.1,42,10.00,10.00
cifar10,FedAvg,sign_flip,0.2,0.1,7,45.09,31.97
cifar10,FedAvg,sign_flip,0.1,0.5,42,55.01,65.10
cifar10,FedAvg,sign_flip,0.1,0.5,7,54.46,54.27
cifar10,FedAvg,sign_flip,0.3,0.1,42,10.00,10.00
cifar10,FedAvg,sign_flip,0.2,0.5,42,42.13,54.63
cifar10,FedAvg,sign_flip,0.3,0.1,7,30.09,10.01
cifar10,FedAvg,sign_flip,0.2,0.5,7,46.03,35.66
cifar10,FedAvg,gaussian,0.1,0.1,42,49.10,60.10
cifar10,FedAvg,gaussian,0.1,0.1,7,53.38,58.73
cifar10,FedAvg,sign_flip,0.3,0.5,42,15.94,44.76
cifar10,FedAvg,sign_flip,0.3,0.5,7,12.32,24.01
cifar10,FedAvg,gaussian,0.2,0.1,42,47.49,59.43
cifar10,FedAvg,gaussian,0.1,0.5,42,64.00,68.05
cifar10,FedAvg,gaussian,0.2,0.1,7,52.41,56.91
cifar10,FedAvg,gaussian,0.1,0.5,7,63.65,67.47
cifar10,FedAvg,gaussian,0.3,0.1,42,53.41,56.66
cifar10,FedAvg,gaussian,0.3,0.1,7,53.50,60.77
cifar10,FedAvg,gaussian,0.2,0.5,42,61.65,67.18
cifar10,FedAvg,gaussian,0.2,0.5,7,61.85,65.65
cifar10,FedAvg,alie,0.1,0.1,42,51.22,61.06
cifar10,FedAvg,alie,0.1,0.1,7,55.32,58.95
cifar10,FedAvg,gaussian,0.3,0.5,42,58.09,65.48
cifar10,FedAvg,gaussian,0.3,0.5,7,61.17,64.95
cifar10,FedAvg,alie,0.2,0.1,42,51.77,61.49
cifar10,FedAvg,alie,0.1,0.5,42,66.38,68.25
cifar10,FedAvg,alie,0.2,0.1,7,54.64,59.49
cifar10,FedAvg,alie,0.1,0.5,7,64.89,68.29
cifar10,FedAvg,alie,0.3,0.1,42,51.71,62.25
cifar10,FedAvg,alie,0.2,0.5,42,66.44,68.83
cifar10,FedAvg,alie,0.3,0.1,7,54.93,59.28
cifar10,FedAvg,alie,0.2,0.5,7,65.19,68.14
cifar10,FedAvg,ipm,0.1,0.1,42,53.05,59.87
