dataset,method,attack,corruption,seed,final_accuracy
cifar100,FedAvg,sign_flip,0.2,7,18.56
cifar100,FedAvg,label_flip,0.2,7,27.23
cifar100,FedAvg,none,0.0,7,31.83
cifar100,FedAvg,sign_flip,0.2,42,18.91
cifar100,FedAvg,none,0.0,42,31.39
cifar100,FedAvg,label_flip,0.2,42,25.63
cifar100,Median,none,0.0,7,25.14
cifar100,FedAvg,gaussian,0.2,7,28.97
cifar100,FedAvg,gaussian,0.2,42,27.80
cifar100,Median,label_flip,0.2,7,19.86
cifar100,Median,none,0.0,42,23.87
cifar100,Median,label_flip,0.2,42,17.86
cifar100,Median,sign_flip,0.2,7,14.76
cifar100,Median,sign_flip,0.2,42,15.96
cifar100,Median,gaussian,0.2,7,20.12
cifar100,Median,gaussian,0.2,42,21.99
cifar100,Krum,none,0.0,7,13.67
cifar100,Krum,none,0.0,42,13.16
cifar100,Krum,label_flip,0.2,7,15.74
cifar100,Krum,sign_flip,0.2,7,12.27
cifar100,Krum,sign_flip,0.2,42,14.51
cifar100,Krum,label_flip,0.2,42,14.39
cifar100,Krum,gaussian,0.2,7,14.81
cifar100,Krum,gaussian,0.2,42,13.79
cifar100,Bulyan,none,0.0,42,31.67
cifar100,Bulyan,none,0.0,7,32.41
cifar100,Bulyan,sign_flip,0.2,7,21.89
cifar100,Bulyan,label_flip,0.2,42,23.48
cifar100,Bulyan,label_flip,0.2,7,25.05
cifar100,Bulyan,sign_flip,0.2,42,20.43
cifar100,FLTrust,none,0.0,7,18.19
cifar100,FLTrust,label_flip,0.2,7,17.03
cifar100,FLTrust,none,0.0,42,18.75
cifar100,FLTrust,label_flip,0.2,42,18.04
cifar100,Bulyan,gaussian,0.2,7,25.39
cifar100,Bulyan,gaussian,0.2,42,26.43
cifar100,FLTrust,sign_flip,0.2,7,17.10
cifar100,FLTrust,sign_flip,0.2,42,18.30
cifar100,FLTrust,gaussian,0.2,7,17.20
cifar100,FLTrust,gaussian,0.2,42,18.36
cifar100,SWB,none,0.0,7,23.76
cifar100,SWB,none,0.0,42,23.88
cifar100,SWB,label_flip,0.2,42,19.86
cifar100,SWB,label_flip,0.2,7,18.67
cifar100,SWB,sign_flip,0.2,42,15.28
cifar100,SWB,sign_flip,0.2,7,18.45
cifar100,SWB,gaussian,0.2,7,20.15
cifar100,SWB,gaussian,0.2,42,21.16
cifar100,SWB-DM,none,0.0,42,14.49
cifar100,SWB-DM,none,0.0,7,14.37
cifar100,SWB-DM,label_flip,0.2,7,12.66
cifar100,SWB-DM,label_flip,0.2,42,11.27
cifar100,SWB-DM,sign_flip,0.2,7,9.75
cifar100,SWB-DM,sign_flip,0.2,42,8.43
cifar100,SWB-DM,gaussian,0.2,42,12.08
cifar100,SWB-DM,gaussian,0.2,7,11.60
femnist,FedAvg,none,0.0,42,83.25
femnist,FedAvg,none,0.0,7,85.94
femnist,FedAvg,label_flip,0.2,42,58.63
femnist,FedAvg,label_flip,0.2,7,83.84
femnist,FedAvg,sign_flip,0.2,42,74.15
femnist,FedAvg,sign_flip,0.2,7,74.85
femnist,FedAvg,gaussian,0.2,42,82.72
femnist,FedAvg,gaussian,0.2,7,84.83
femnist,Median,none,0.0,42,81.94
femnist,Median,none,0.0,7,85.30
femnist,Median,label_flip,0.2,42,79.43
femnist,Median,label_flip,0.2,7,81.96
femnist,Median,sign_flip,0.2,42,73.48
femnist,Median,sign_flip,0.2,7,76.74
femnist,Median,gaussian,0.2,42,80.09
femnist,Median,gaussian,0.2,7,82.44
femnist,Krum,none,0.0,42,73.52
femnist,Krum,none,0.0,7,77.80
femnist,Krum,label_flip,0.2,42,65.84
femnist,Krum,label_flip,0.2,7,77.38
femnist,Krum,sign_flip,0.2,42,73.82
femnist,Krum,gaussian,0.2,42,74.43
femnist,Krum,sign_flip,0.2,7,78.04
femnist,Krum,gaussian,0.2,7,77.74
femnist,Bulyan,none,0.0,42,84.00
femnist,Bulyan,none,0.0,7,85.89
femnist,Bulyan,label_flip,0.2,42,81.09
femnist,Bulyan,label_flip,0.2,7,82.27
femnist,Bulyan,sign_flip,0.2,42,81.35
femnist,Bulyan,sign_flip,0.2,7,80.33
femnist,FLTrust,none,0.0,42,82.79
femnist,Bulyan,gaussian,0.2,42,83.40
femnist,FLTrust,none,0.0,7,83.38
femnist,FLTrust,label_flip,0.2,42,82.25
femnist,Bulyan,gaussian,0.2,7,82.46
femnist,FLTrust,label_flip,0.2,7,82.57
femnist,FLTrust,sign_flip,0.2,42,82.41
femnist,FLTrust,sign_flip,0.2,7,82.64
femnist,FLTrust,gaussian,0.2,42,82.35
femnist,FLTrust,gaussian,0.2,7,82.62
femnist,SWB,none,0.0,42,82.07
femnist,SWB,none,0.0,7,83.85
femnist,SWB,label_flip,0.2,42,78.97
femnist,SWB,label_flip,0.2,7,79.91
femnist,SWB,sign_flip,0.2,42,74.65
femnist,SWB,sign_flip,0.2,7,78.80
femnist,SWB,gaussian,0.2,42,78.75
femnist,SWB,gaussian,0.2,7,81.65
femnist,SWB-DM,none,0.0,42,80.98
femnist,SWB-DM,none,0.0,7,80.39
femnist,SWB-DM,label_flip,0.2,42,79.92
femnist,SWB-DM,label_flip,0.2,7,78.38
femnist,SWB-DM,sign_flip,0.2,42,76.42
femnist,SWB-DM,sign_flip,0.2,7,78.34
femnist,SWB-DM,gaussian,0.2,42,75.90
femnist,SWB-DM,gaussian,0.2,7,80.95
