method,attack,corruption,participation,seed,final_accuracy
FedAvg,none,0.0,0.1,7,54.58
FedAvg,none,0.0,0.1,42,51.42
FedAvg,label_flip,0.1,0.1,7,54.64
FedAvg,label_flip,0.1,0.1,42,49.89
FedAvg,none,0.0,0.5,42,66.41
FedAvg,label_flip,0.1,0.5,42,63.50
FedAvg,none,0.0,0.5,7,65.16
FedAvg,label_flip,0.1,0.5,7,63.77
FedAvg,label_flip,0.2,0.1,7,53.50
FedAvg,label_flip,0.2,0.1,42,48.91
FedAvg,label_flip,0.3,0.1,7,24.88
FedAvg,label_flip,0.2,0.5,42,55.74
FedAvg,label_flip,0.3,0.1,42,22.16
FedAvg,label_flip,0.2,0.5,7,60.18
FedAvg,sign_flip,0.1,0.1,42,48.07
FedAvg,sign_flip,0.1,0.1,7,53.44
FedAvg,label_flip,0.3,0.5,42,30.43
FedAvg,label_flip,0.3,0.5,7,42.26
FedAvg,sign_flip,0.2,0.1,42,10.00
FedAvg,sign_flip,0.2,0.1,7,47.87
FedAvg,sign_flip,0.1,0.5,42,59.29
FedAvg,sign_flip,0.1,0.5,7,58.38
FedAvg,sign_flip,0.3,0.1,42,10.00
FedAvg,sign_flip,0.2,0.5,42,50.77
FedAvg,sign_flip,0.3,0.1,7,32.69
FedAvg,sign_flip,0.2,0.5,7,52.86
FedAvg,gaussian,0.1,0.1,42,50.00
FedAvg,gaussian,0.1,0.1,7,54.47
FedAvg,sign_flip,0.3,0.5,42,20.02
FedAvg,sign_flip,0.3,0.5,7,30.14
FedAvg,gaussian,0.2,0.1,42,48.29
FedAvg,gaussian,0.1,0.5,42,64.58
FedAvg,gaussian,0.2,0.1,7,53.32
FedAvg,gaussian,0.1,0.5,7,64.43
FedAvg,gaussian,0.3,0.1,42,54.90
FedAvg,gaussian,0.2,0.5,42,63.28
FedAvg,gaussian,0.3,0.1,7,51.85
FedAvg,alie,0.1,0.1,42,56.54
FedAvg,gaussian,0.2,0.5,7,62.52
FedAvg,alie,0.1,0.1,7,56.55
FedAvg,gaussian,0.3,0.5,42,59.92
FedAvg,alie,0.2,0.1,42,55.15
FedAvg,gaussian,0.3,0.5,7,61.51
FedAvg,alie,0.1,0.5,42,64.98
FedAvg,alie,0.1,0.5,7,65.16
FedAvg,alie,0.2,0.1,7,54.99
FedAvg,alie,0.2,0.5,42,63.23
FedAvg,alie,0.3,0.1,7,50.19
FedAvg,alie,0.3,0.1,42,49.41
FedAvg,alie,0.2,0.5,7,63.12
FedAvg,ipm,0.1,0.1,42,50.98
FedAvg,alie,0.3,0.5,42,10.00
FedAvg,ipm,0.1,0.1,7,53.76
FedAvg,alie,0.3,0.5,7,59.21
FedAvg,ipm,0.2,0.1,42,51.96
FedAvg,ipm,0.2,0.1,7,49.25
FedAvg,ipm,0.1,0.5,42,61.33
FedAvg,ipm,0.3,0.1,42,52.66
FedAvg,ipm,0.2,0.5,42,53.67
FedAvg,ipm,0.1,0.5,7,60.72
FedAvg,ipm,0.2,0.5,7,53.32
FedAvg,ipm,0.3,0.5,42,29.72
FedAvg,ipm,0.3,0.1,7,48.36
Median,none,0.0,0.1,42,38.37
Median,none,0.0,0.1,7,44.07
FedAvg,ipm,0.3,0.5,7,45.79
Median,label_flip,0.1,0.1,42,39.02
Median,label_flip,0.1,0.1,7,37.50
Median,none,0.0,0.5,42,60.82
Median,none,0.0,0.5,7,62.75
Median,label_flip,0.1,0.5,42,59.39
Median,label_flip,0.2,0.1,42,32.90
Median,label_flip,0.2,0.1,7,35.31
Median,label_flip,0.1,0.5,7,60.23
Median,label_flip,0.3,0.1,42,17.16
Median,label_flip,0.2,0.5,42,51.01
Median,label_flip,0.3,0.1,7,24.83
Median,label_flip,0.2,0.5,7,55.42
Median,sign_flip,0.1,0.1,42,18.14
Median,sign_flip,0.1,0.1,7,22.43
Median,label_flip,0.3,0.5,42,35.64
Median,label_flip,0.3,0.5,7,37.67
Median,sign_flip,0.2,0.1,42,16.93
Median,sign_flip,0.2,0.1,7,11.19
Median,sign_flip,0.1,0.5,42,58.05
Median,sign_flip,0.1,0.5,7,57.79
Median,sign_flip,0.3,0.1,42,10.00
Median,sign_flip,0.2,0.5,42,47.59
Median,sign_flip,0.3,0.1,7,10.00
Median,sign_flip,0.2,0.5,7,49.11
Median,gaussian,0.1,0.1,42,23.96
Median,gaussian,0.1,0.1,7,39.32
Median,sign_flip,0.3,0.5,42,29.10
Median,gaussian,0.2,0.1,42,19.47
Median,sign_flip,0.3,0.5,7,37.20
Median,gaussian,0.1,0.5,42,60.75
Median,gaussian,0.2,0.1,7,29.20
Median,gaussian,0.1,0.5,7,61.61
Median,gaussian,0.3,0.1,42,14.79
Median,gaussian,0.2,0.5,42,58.00
Median,gaussian,0.3,0.1,7,23.31
Median,gaussian,0.2,0.5,7,60.00
Median,alie,0.1,0.1,42,42.81
Median,alie,0.1,0.1,7,47.44
Median,gaussian,0.3,0.5,42,51.81
Median,alie,0.2,0.1,42,45.29
Median,gaussian,0.3,0.5,7,57.16
Median,alie,0.1,0.5,42,62.75
Median,alie,0.2,0.1,7,48.21
Median,alie,0.1,0.5,7,63.82
Median,alie,0.2,0.5,42,57.11
Median,alie,0.3,0.1,7,45.01
Median,alie,0.3,0.1,42,46.21
Median,alie,0.2,0.5,7,60.52
Median,ipm,0.1,0.1,42,10.00
Median,alie,0.3,0.5,42,11.37
Median,ipm,0.1,0.1,7,10.00
Median,alie,0.3,0.5,7,49.48
Median,ipm,0.2,0.1,42,10.00
Median,ipm,0.2,0.1,7,10.00
Median,ipm,0.1,0.5,42,57.23
Median,ipm,0.2,0.5,42,39.17
Median,ipm,0.1,0.5,7,57.60
Median,ipm,0.3,0.1,42,10.00
Median,ipm,0.2,0.5,7,46.84
Median,ipm,0.3,0.5,42,10.00
Median,ipm,0.3,0.1,7,10.00
Krum,none,0.0,0.1,42,47.58
Krum,none,0.0,0.1,7,38.62
Median,ipm,0.3,0.5,7,9.45
Krum,label_flip,0.1,0.1,42,50.49
Krum,label_flip,0.1,0.1,7,41.60
Krum,none,0.0,0.5,42,33.39
Krum,none,0.0,0.5,7,34.83
Krum,label_flip,0.1,0.5,42,33.87
Krum,label_flip,0.2,0.1,42,47.26
Krum,label_flip,0.2,0.1,7,40.16
Krum,label_flip,0.1,0.5,7,37.46
Krum,label_flip,0.2,0.5,42,35.26
Krum,label_flip,0.3,0.1,42,42.77
Krum,label_flip,0.3,0.1,7,40.52
Krum,label_flip,0.2,0.5,7,36.49
