method,attack,corruption,participation,seed,acc_at_round10,acc_at_round25
SWB-DM,none,0.0,0.1,7,26.29,31.08
SWB-DM,none,0.0,0.1,42,22.50,37.70
SWB-DM,none,0.0,0.5,42,49.09,58.62
SWB-DM,none,0.0,0.5,7,53.84,59.71
SWB-DM,label_flip,0.1,0.1,42,19.24,41.70
SWB-DM,label_flip,0.1,0.5,42,50.27,58.17
SWB-DM,label_flip,0.1,0.1,7,19.25,31.37
SWB-DM,label_flip,0.1,0.5,7,50.02,60.06
SWB-DM,label_flip,0.2,0.1,42,18.60,30.83
SWB-DM,label_flip,0.2,0.1,7,10.85,30.42
SWB-DM,label_flip,0.2,0.5,42,45.74,56.45
SWB-DM,label_flip,0.2,0.5,7,49.70,56.79
SWB-DM,label_flip,0.3,0.1,42,16.24,29.18
SWB-DM,label_flip,0.3,0.5,42,36.12,54.34
SWB-DM,label_flip,0.3,0.1,7,17.30,25.32
SWB-DM,label_flip,0.3,0.5,7,41.10,51.24
SWB-DM,sign_flip,0.1,0.1,7,24.06,34.19
SWB-DM,sign_flip,0.1,0.1,42,19.75,35.84
SWB-DM,sign_flip,0.1,0.5,42,43.41,57.64
SWB-DM,sign_flip,0.1,0.5,7,43.91,57.17
SWB-DM,sign_flip,0.2,0.1,42,14.11,34.50
SWB-DM,sign_flip,0.2,0.5,42,34.59,54.00
SWB-DM,sign_flip,0.2,0.1,7,12.79,32.14
SWB-DM,sign_flip,0.2,0.5,7,44.08,51.76
SWB-DM,sign_flip,0.3,0.1,42,10.01,20.63
SWB-DM,sign_flip,0.3,0.1,7,12.34,29.19
SWB-DM,sign_flip,0.3,0.5,42,31.70,48.45
SWB-DM,sign_flip,0.3,0.5,7,28.91,45.03
SWB-DM,gaussian,0.1,0.1,42,18.58,41.03
SWB-DM,gaussian,0.1,0.5,42,47.28,57.38
SWB-DM,gaussian,0.1,0.1,7,19.97,39.81
SWB-DM,gaussian,0.1,0.5,7,48.25,59.02
SWB-DM,gaussian,0.2,0.1,42,13.38,33.53
SWB-DM,gaussian,0.2,0.1,7,13.04,33.87
SWB-DM,gaussian,0.2,0.5,42,45.19,56.57
SWB-DM,gaussian,0.2,0.5,7,45.88,57.68
SWB-DM,gaussian,0.3,0.1,42,10.02,23.91
SWB-DM,gaussian,0.3,0.1,7,15.86,29.35
SWB-DM,gaussian,0.3,0.5,42,42.26,53.90
SWB-DM,gaussian,0.3,0.5,7,42.46,53.50
SWB-DM,alie,0.1,0.1,42,24.99,38.96
SWB-DM,alie,0.1,0.1,7,21.49,39.80
SWB-DM,alie,0.1,0.5,42,55.54,64.03
SWB-DM,alie,0.1,0.5,7,55.51,62.46
SWB-DM,alie,0.2,0.1,42,20.27,37.49
SWB-DM,alie,0.2,0.5,42,49.36,61.46
SWB-DM,alie,0.2,0.1,7,21.89,30.77
SWB-DM,alie,0.2,0.5,7,51.04,53.42
SWB-DM,alie,0.3,0.1,42,18.40,40.13
SWB-DM,alie,0.3,0.1,7,18.78,37.34
SWB-DM,alie,0.3,0.5,42,38.50,47.96
SWB-DM,alie,0.3,0.5,7,43.53,47.74
SWB-DM,ipm,0.1,0.1,42,19.76,39.52
SWB-DM,ipm,0.1,0.1,7,22.66,39.63
SWB-DM,ipm,0.1,0.5,42,44.05,56.82
SWB-DM,ipm,0.1,0.5,7,43.85,55.96
SWB-DM,ipm,0.2,0.1,42,16.30,23.07
SWB-DM,ipm,0.2,0.5,42,38.20,51.22
SWB-DM,ipm,0.2,0.1,7,15.98,33.23
SWB-DM,ipm,0.2,0.5,7,41.72,50.33
SWB-DM,ipm,0.3,0.1,42,19.49,21.65
SWB-DM,ipm,0.3,0.1,7,10.00,24.90
SWB-DM,ipm,0.3,0.5,42,15.34,23.98
SWB-DM,ipm,0.3,0.5,7,17.85,37.28
